subset,repo,group,release,file_id,path_rel,loc_total,block_count,blocks_per_file,blocks_per_kloc
core,ipython,old_2000s,0.10.1,54e6653b838a16b76be8801866d4b5e519e030c9,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/frontend/process/winprocess.py,264,42,42.0,159.0909090909091
core,ipython,old_2000s,0.10.1,4deff3f60fb796dde7d5ca244da9be43ab8d0ced,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/frontend/cocoa/cocoa_frontend.py,560,21,21.0,37.49999999999999
core,ipython,old_2000s,0.10.1,fb3e09d023cc949a6754d5936acb170fe1c9e814,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/config/__init__.py,14,3,3.0,214.28571428571428
core,ipython,old_2000s,0.10.1,77f0cde38653293012e35035f767abc3b8f13425,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/config/api.py,102,6,6.0,58.82352941176471
core,ipython,old_2000s,0.10.1,9f23f56652a363ba4bc751b62831eda2b88088ac,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/config/cutils.py,34,4,4.0,117.6470588235294
core,ipython,old_2000s,0.10.1,48e26530e21cd7753857d461f2ff1bbc2ff7eae4,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/UserConfig/ipy_user_conf.py,114,21,21.0,184.21052631578948
core,ipython,old_2000s,0.10.1,c36b437ca76a5963ebc9040f8894026d9f5121b5,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/InterpreterExec.py,253,16,16.0,63.241106719367586
core,ipython,old_2000s,0.10.1,e51e69a9a4b3fac5e39ab120ee566ea000a29c79,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/InterpreterPasteInput.py,124,10,10.0,80.64516129032258
core,ipython,old_2000s,0.10.1,19b4600761b5861a0fb371fd2fa3752806b3136d,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/PhysicalQInput.py,84,15,15.0,178.57142857142856
core,ipython,old_2000s,0.10.1,5c8ee2cc80c769c4f0d4cff8463a84aba57526a7,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/PhysicalQInteractive.py,90,9,9.0,100.0
